Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Teacher_Quality,Peer_Influence,Physical_Activity,Gender,quiz1,quiz2,Assignment1,Assignment2,Midterm_Marks,Final_Marks,Grade
17,67,Yes,5,Medium,Medium,Negative,2,Male,51,51,76,79,44,44,C
23,71,Yes,8,Medium,High,Positive,2,Male,64,59,84,86,71,51,B-
18,61,Yes,5,Low,High,Neutral,3,Male,61,60,84,80,61,47,C+
24,88,Yes,7,Low,High,Neutral,3,Male,62,52,89,86,61,50,B-
24,80,Yes,9,High,Low,Neutral,3,Male,57,61,77,79,52,51,B-
14,64,No,8,Low,High,Positive,4,Male,54,52,76,84,52,44,C
27,67,No,8,Low,Low,Positive,3,Female,57,55,80,83,79,49,C+
17,64,Yes,7,Low,Low,Positive,2,Female,52,59,79,80,64,47,C+
25,85,No,5,Low,Medium,Negative,3,Female,59,62,83,77,45,50,B-
22,64,No,6,Low,Medium,Negative,4,Female,50,51,82,76,42,47,C+
31,90,No,7,Low,Medium,Positive,3,Male,67,62,85,80,51,55,B
19,61,No,7,Low,Medium,Negative,3,Male,51,54,81,79,64,45,C+
18,70,Yes,5,Low,Medium,Negative,2,Female,55,53,78,80,71,46,C+
20,96,No,8,Low,Medium,Neutral,4,Male,62,63,78,80,47,53,B-
18,89,No,5,Low,Medium,Positive,3,Male,59,61,83,81,62,52,B-
25,63,Yes,9,Medium,Low,Positive,2,Male,57,63,78,78,44,47,C+
10,93,No,7,Medium,Medium,Positive,3,Male,55,50,86,77,42,49,C+
14,80,Yes,8,Medium,High,Positive,4,Female,61,57,84,85,83,50,B-
14,94,Yes,8,Medium,Low,Negative,5,Female,57,58,85,90,73,54,B-
26,84,Yes,10,Medium,High,Positive,1,Female,61,63,81,81,79,53,B-
30,87,No,7,Medium,Medium,Neutral,3,Male,67,52,85,84,49,52,B-
19,69,Yes,6,Medium,Medium,Neutral,1,Female,51,56,80,85,62,47,C+
20,85,Yes,9,Low,Medium,Positive,3,Male,58,58,84,82,73,53,B-
27,78,Yes,5,Medium,Low,Neutral,3,Male,62,56,76,85,67,52,B-
21,61,No,7,Medium,Low,Negative,3,Female,52,44,79,79,48,43,C
26,65,No,7,Medium,Medium,Negative,4,Female,57,54,85,81,64,48,C+
23,86,No,8,Medium,Medium,Negative,0,Male,60,63,82,79,81,50,B-
21,83,No,5,Low,Medium,Negative,4,Male,59,57,81,82,65,49,C+
26,82,No,7,Medium,Medium,Neutral,3,Female,63,62,85,79,50,51,B-
4,61,Yes,7,High,Low,Positive,1,Male,51,56,80,72,61,41,C
24,79,Yes,5,Medium,Medium,Neutral,3,Female,57,59,81,76,78,50,B-
9,76,Yes,7,Medium,Medium,Neutral,3,Female,56,50,82,80,69,45,C+
23,85,No,7,High,Medium,Negative,3,Female,67,62,81,81,88,52,B-
28,91,Yes,6,High,High,Neutral,4,Male,63,61,87,86,59,56,B
19,91,No,6,Medium,Medium,Negative,4,Male,53,54,84,83,42,49,C+
26,81,Yes,5,Medium,Medium,Negative,5,Female,62,51,80,76,72,50,B-
30,94,No,8,Medium,Low,Neutral,4,Female,62,66,82,82,42,54,B-
28,76,Yes,9,Medium,Medium,Neutral,2,Male,49,55,82,84,50,49,C+
30,96,Yes,10,Medium,High,Positive,4,Female,68,66,85,81,42,57,B
24,70,No,8,Low,High,Positive,5,Male,56,53,85,81,49,50,B-
20,71,No,6,High,High,Negative,2,Male,59,61,78,80,83,51,B-
10,62,No,6,High,High,Neutral,3,Male,53,48,72,81,77,44,C
19,92,No,8,Medium,Medium,Negative,2,Female,61,59,85,79,57,52,B-
15,77,Yes,7,Low,Medium,Positive,4,Male,59,60,72,76,85,48,C+
33,69,Yes,7,Medium,Low,Neutral,2,Male,60,65,84,85,73,54,B-
19,69,No,7,Medium,Low,Positive,2,Female,54,52,76,77,62,44,C
21,96,Yes,9,Medium,High,Neutral,3,Male,60,53,80,81,43,53,B-
23,93,No,6,Medium,Medium,Neutral,3,Male,64,74,85,83,77,53,B-
20,82,Yes,9,Low,Medium,Positive,3,Male,62,68,82,79,59,52,B-
30,85,Yes,7,High,Medium,Negative,3,Female,57,64,81,77,55,53,B-
16,79,Yes,6,Medium,Low,Positive,4,Male,62,54,80,85,54,50,B-
21,76,No,6,Low,Medium,Negative,4,Female,52,53,81,75,40,46,C+
16,97,No,7,Medium,Medium,Neutral,3,Female,64,58,78,83,77,53,B-
12,65,No,8,Medium,High,Positive,5,Female,53,57,83,85,47,44,C
16,77,Yes,6,Low,Medium,Neutral,1,Female,62,56,85,75,66,47,C+
20,74,Yes,8,High,Medium,Negative,3,Male,55,52,83,74,41,48,C+
17,80,No,6,Medium,High,Neutral,1,Male,55,54,82,80,71,48,C+
16,78,Yes,7,High,High,Positive,3,Female,57,62,85,76,58,49,C+
12,81,Yes,5,Low,High,Positive,3,Female,56,64,81,78,72,49,C+
20,66,Yes,8,Medium,Low,Positive,2,Male,57,61,80,86,44,46,C+
11,81,Yes,7,Medium,Medium,Neutral,2,Male,51,60,88,85,53,49,C+
25,70,Yes,9,High,Medium,Positive,1,Male,51,54,82,84,46,47,C+
20,67,No,8,Medium,High,Neutral,4,Male,52,41,83,80,72,48,C+
11,63,No,7,Low,Medium,Positive,1,Male,57,54,79,78,45,45,C+
18,91,Yes,9,High,Medium,Neutral,5,Male,68,62,87,85,71,54,B-
15,77,Yes,8,Low,Medium,Neutral,2,Male,54,54,81,76,47,46,C+
22,85,No,9,High,High,Negative,3,Male,60,61,86,80,87,53,B-
28,89,Yes,6,Low,Medium,Neutral,4,Male,61,55,83,83,61,53,B-
9,87,No,8,Medium,High,Positive,3,Female,60,58,81,77,46,48,C+
19,76,Yes,5,Medium,Medium,Positive,4,Female,53,60,83,78,56,49,C+
24,75,No,9,High,High,Positive,2,Male,60,62,81,80,85,51,B-
21,86,No,5,Medium,Medium,Negative,3,Male,63,63,90,81,47,51,B-
15,80,Yes,5,Medium,High,Neutral,3,Female,62,62,83,78,80,52,B-
18,94,Yes,4,Medium,Low,Positive,3,Female,63,60,85,79,61,54,B-
26,67,Yes,5,Medium,Medium,Positive,2,Male,63,58,85,83,84,51,B-
20,65,Yes,6,Medium,High,Neutral,5,Male,48,58,77,81,90,50,B-
31,85,No,8,Medium,High,Positive,3,Male,66,63,81,89,43,55,B
20,72,Yes,7,High,Medium,Neutral,3,Male,56,63,85,76,80,51,B-
16,61,Yes,6,Low,Medium,Positive,4,Female,44,54,77,80,43,43,C
11,96,No,5,High,Medium,Neutral,4,Male,61,68,77,81,56,51,B-
9,69,Yes,7,High,High,Positive,2,Female,61,66,82,84,72,48,C+
10,97,No,8,High,Medium,Neutral,3,Female,57,58,85,82,62,50,B-
22,89,No,8,Low,Medium,Positive,3,Female,65,43,85,85,68,53,B-
23,91,Yes,10,High,High,Negative,3,Female,67,66,81,83,88,53,B-
11,68,No,6,Low,High,Negative,2,Female,57,49,80,82,81,44,C
25,69,Yes,5,Medium,High,Positive,4,Male,65,55,83,76,58,51,B-
17,81,No,7,High,Medium,Negative,3,Female,61,56,84,79,70,50,B-
21,67,No,7,Medium,Medium,Negative,3,Female,53,51,76,67,42,45,C+
30,72,No,7,Medium,Medium,Neutral,4,Male,51,60,83,76,63,49,C+
25,73,Yes,6,Medium,Medium,Positive,2,Female,59,53,85,83,70,52,B-
18,66,Yes,4,Medium,Medium,Negative,4,Female,54,52,79,77,76,49,C+
15,68,Yes,5,Medium,Medium,Negative,5,Female,63,56,81,79,85,47,C+
7,92,No,8,High,Low,Neutral,4,Male,56,60,79,87,54,49,C+
16,67,No,7,Low,Medium,Neutral,5,Male,54,57,85,86,85,46,C+
19,61,Yes,8,Low,Medium,Negative,3,Male,55,49,77,75,73,45,C+
14,85,Yes,8,Low,Medium,Negative,4,Male,56,51,84,74,44,48,C+
19,99,No,8,Low,Medium,Negative,2,Male,65,56,88,80,59,51,B-
20,73,Yes,8,Low,Low,Negative,4,Male,54,57,86,80,64,48,C+
19,65,Yes,7,Low,Low,Neutral,4,Female,55,60,80,82,58,46,C+
16,83,Yes,7,Medium,Medium,Negative,2,Male,56,50,83,80,46,51,B-
21,96,Yes,4,Low,Medium,Positive,2,Male,58,62,83,85,68,55,B
23,91,No,6,Medium,Medium,Positive,3,Male,58,54,81,81,47,52,B-
13,85,No,6,Low,High,Positive,5,Male,57,49,84,80,86,49,C+
28,73,Yes,7,High,High,Neutral,3,Male,57,63,83,82,83,51,B-
19,82,No,6,Medium,High,Neutral,2,Male,52,57,81,80,64,47,C+
20,64,Yes,8,Low,Medium,Positive,2,Male,47,54,81,74,43,44,C
24,87,No,6,High,Low,Neutral,2,Male,58,62,84,78,68,50,B-
21,89,Yes,9,Medium,Low,Neutral,3,Male,53,57,81,80,70,51,B-
26,99,No,6,High,Medium,Positive,3,Male,68,63,89,80,84,57,B
22,70,Yes,6,Medium,High,Positive,2,Female,58,68,85,77,43,50,B-
16,61,Yes,6,Medium,Medium,Positive,3,Male,49,54,82,83,75,47,C+
22,82,No,6,Medium,High,Neutral,3,Male,59,63,84,79,68,52,B-
13,88,Yes,9,Medium,Medium,Negative,3,Female,51,54,81,80,49,46,C+
21,92,No,7,Medium,Medium,Neutral,4,Female,59,49,83,81,46,50,B-
20,68,Yes,7,Medium,Medium,Neutral,3,Male,61,47,81,80,75,48,C+
19,70,Yes,6,Medium,Low,Positive,4,Female,51,55,83,81,57,50,B-
19,81,No,7,Medium,Medium,Negative,5,Female,59,63,77,79,90,51,B-
9,73,Yes,7,Medium,Medium,Negative,3,Male,52,56,77,76,85,45,C+
17,94,Yes,7,Medium,High,Neutral,3,Female,64,65,82,79,68,53,B-
21,79,Yes,7,Medium,Medium,Negative,3,Female,59,53,83,79,72,50,B-
21,92,Yes,9,Medium,Medium,Neutral,5,Female,77,87,90,87,48,72,A
14,83,Yes,7,Low,Medium,Neutral,2,Female,55,51,80,83,85,48,C+
28,91,Yes,5,Medium,Medium,Neutral,2,Female,57,61,79,85,63,52,B-
15,73,No,7,High,Medium,Positive,4,Female,59,55,76,81,66,47,C+
26,93,No,6,Medium,Medium,Negative,4,Female,65,64,88,83,84,57,B
23,71,No,8,Medium,Medium,Positive,2,Female,62,61,82,82,40,47,C+
16,82,No,7,Medium,Medium,Negative,2,Female,55,52,86,77,65,47,C+
31,69,Yes,9,Medium,Medium,Negative,2,Male,55,52,83,81,71,50,B-
13,79,Yes,6,High,Medium,Positive,4,Male,48,54,81,73,48,46,C+
26,73,Yes,7,Low,High,Neutral,5,Female,52,57,81,79,43,51,B-
26,71,Yes,5,Low,Medium,Neutral,5,Male,51,72,76,78,67,49,C+
16,99,Yes,7,High,Medium,Neutral,3,Female,60,62,85,79,67,51,B-
28,66,No,5,Medium,Medium,Positive,1,Female,61,57,82,85,57,51,B-
18,91,No,7,Medium,Medium,Neutral,2,Female,54,55,83,86,84,52,B-
22,99,No,7,Medium,Low,Neutral,3,Female,65,53,85,82,55,54,B-
22,61,Yes,7,Medium,Medium,Positive,3,Female,54,51,75,84,66,48,C+
19,88,Yes,8,Medium,Medium,Neutral,4,Male,59,58,84,84,49,50,B-
25,70,No,7,Medium,Medium,Negative,4,Female,62,62,83,88,41,48,C+
25,62,No,5,Medium,High,Positive,4,Male,59,61,80,81,61,48,C+
10,76,No,6,Medium,High,Negative,2,Male,70,72,82,86,66,63,B+
28,97,Yes,7,High,Medium,Neutral,2,Male,62,63,89,82,78,57,B
10,60,No,7,Low,Low,Positive,3,Male,42,51,74,80,62,42,C
26,84,No,7,Low,High,Neutral,3,Male,57,57,87,82,54,52,B-
27,80,Yes,9,Medium,Medium,Neutral,2,Male,56,64,74,79,70,49,C+
13,95,Yes,7,Medium,Low,Positive,2,Female,53,56,85,79,59,49,C+
18,63,No,8,Medium,Medium,Positive,4,Female,55,55,82,78,52,48,C+
13,87,Yes,4,Low,Low,Neutral,3,Male,58,48,83,84,86,50,B-
19,87,No,8,Low,Medium,Neutral,4,Male,59,59,87,80,67,52,B-
18,87,Yes,10,High,Medium,Positive,3,Female,57,63,79,78,50,51,B-
25,98,Yes,9,Medium,High,Neutral,2,Female,65,59,83,82,74,56,B
28,93,Yes,6,Medium,Medium,Positive,2,Female,64,58,84,79,80,54,B-
28,62,Yes,10,Medium,High,Positive,2,Male,54,61,81,81,78,50,B-
17,79,Yes,7,Low,High,Positive,3,Female,63,51,82,73,70,50,B-
19,76,No,7,Medium,High,Neutral,2,Male,57,62,81,80,66,49,C+
10,72,No,7,Medium,Medium,Negative,4,Female,54,51,82,79,79,46,C+
15,78,No,7,Medium,Medium,Negative,1,Male,59,54,75,78,75,48,C+
26,75,Yes,4,Medium,Medium,Negative,1,Male,59,53,76,81,69,50,B-
30,77,Yes,8,Medium,Low,Positive,3,Male,64,61,82,82,73,52,B-
13,99,Yes,7,Medium,Medium,Neutral,2,Male,59,69,85,80,48,50,B-
16,64,Yes,7,High,High,Neutral,3,Male,55,60,79,79,41,49,C+
20,97,Yes,7,Low,High,Neutral,4,Female,66,61,85,87,87,57,B
15,85,Yes,7,High,Medium,Negative,4,Female,53,62,81,83,79,49,C+
23,93,Yes,9,Low,Medium,Positive,3,Male,60,58,87,81,59,52,B-
17,74,Yes,8,Low,Medium,Neutral,2,Male,54,60,78,74,48,46,C+
20,77,Yes,7,Medium,High,Positive,3,Female,55,59,84,82,58,48,C+
23,76,No,7,Low,Medium,Positive,4,Male,54,42,77,83,76,47,C+
20,75,No,7,High,Medium,Neutral,4,Male,48,50,78,82,57,47,C+
17,97,Yes,6,Low,Low,Negative,2,Male,58,64,85,82,80,52,B-
19,93,No,7,Medium,High,Negative,3,Female,64,64,83,84,74,56,B
19,64,Yes,8,High,Medium,Negative,3,Male,54,48,83,79,71,45,C+
18,64,Yes,7,Low,Low,Neutral,4,Male,49,50,77,83,87,45,C+
18,77,Yes,6,High,High,Positive,2,Female,64,50,84,81,85,51,B-
30,64,No,7,Low,Medium,Positive,3,Female,54,56,85,85,76,49,C+
23,85,Yes,8,High,Medium,Positive,1,Female,63,69,81,81,50,51,B-
18,66,Yes,5,Medium,Medium,Neutral,4,Male,59,60,74,85,87,49,C+
24,81,Yes,6,Low,Medium,Positive,3,Male,58,70,77,85,51,52,B-
18,60,Yes,5,Medium,Medium,Neutral,2,Female,60,57,84,77,59,45,C+
27,73,No,7,Medium,Medium,Neutral,4,Female,54,63,82,80,81,51,B-
22,87,No,8,Low,High,Negative,2,Male,61,67,85,83,50,50,B-
19,79,No,9,Medium,Medium,Neutral,4,Male,60,57,77,75,72,48,C+
23,99,No,9,Medium,Medium,Negative,4,Male,57,59,84,81,63,52,B-
11,95,No,6,High,Low,Positive,3,Male,63,62,85,84,71,50,B-
13,74,Yes,7,High,Medium,Positive,3,Female,54,61,78,83,88,47,C+
13,62,Yes,6,Medium,High,Neutral,3,Female,54,51,78,78,80,45,C+
21,94,Yes,9,Low,High,Neutral,3,Male,63,58,82,81,55,54,B-
30,96,Yes,9,Medium,Medium,Neutral,3,Male,62,63,82,89,43,55,B
33,93,Yes,7,Low,Medium,Negative,2,Female,68,68,86,82,88,57,B
24,65,No,6,Low,High,Neutral,2,Male,60,60,79,77,69,49,C+
23,100,Yes,4,Medium,Medium,Positive,4,Female,56,56,89,83,49,55,B
9,70,No,5,Medium,High,Neutral,4,Female,61,64,80,84,71,48,C+
17,89,Yes,4,High,Medium,Positive,3,Female,52,55,85,80,42,50,B-
15,96,Yes,5,High,High,Neutral,2,Male,65,60,80,83,49,53,B-
16,69,Yes,10,Medium,High,Negative,1,Male,57,49,78,78,72,45,C+
19,96,Yes,5,High,Medium,Positive,2,Male,53,69,77,83,60,49,C+
17,72,Yes,5,Medium,High,Negative,3,Male,54,57,81,89,56,48,C+
8,99,Yes,6,High,High,Positive,4,Male,57,57,81,80,73,53,B-
24,71,Yes,10,Low,Medium,Positive,2,Female,59,64,79,86,83,52,B-
14,98,Yes,7,Low,Medium,Neutral,3,Female,60,64,81,82,74,53,B-
21,62,No,8,Medium,Medium,Negative,2,Female,60,56,81,72,63,49,C+
32,88,Yes,7,Low,High,Positive,4,Male,69,68,84,87,73,56,B
14,81,No,4,Low,High,Positive,4,Female,65,56,83,81,75,52,B-
5,79,Yes,9,Low,Medium,Neutral,3,Female,55,55,75,87,79,49,C+
18,69,Yes,8,Medium,Medium,Neutral,4,Male,55,47,85,83,55,48,C+
27,88,No,7,High,Medium,Neutral,4,Female,55,55,85,82,46,53,B-
32,68,No,10,Medium,High,Positive,2,Male,58,69,81,87,74,53,B-
13,82,No,6,High,High,Neutral,4,Male,62,65,85,80,46,50,B-
23,70,Yes,7,High,Medium,Positive,3,Male,65,59,90,74,63,51,B-
17,98,Yes,6,Low,Medium,Neutral,2,Female,54,66,83,82,52,51,B-
19,61,No,9,Medium,Medium,Negative,2,Female,50,51,81,82,57,44,C
36,68,Yes,8,High,Medium,Negative,3,Male,61,60,81,83,64,53,B-
11,70,No,7,High,High,Negative,5,Male,57,56,83,75,85,48,C+
22,77,Yes,5,Medium,Medium,Positive,2,Male,54,56,79,77,74,49,C+
23,69,Yes,6,Medium,Medium,Neutral,3,Male,60,57,79,82,49,50,B-
27,80,Yes,5,High,Medium,Negative,3,Male,58,65,84,83,84,52,B-
21,95,No,9,Medium,Medium,Neutral,2,Male,60,60,82,86,65,52,B-
22,88,Yes,5,Low,Medium,Neutral,2,Male,60,61,74,78,50,50,B-
18,83,No,9,Medium,Low,Neutral,4,Female,57,61,81,83,66,49,C+
22,64,Yes,9,Medium,High,Neutral,2,Male,52,56,74,76,50,46,C+
18,88,No,6,Low,High,Neutral,4,Female,58,53,80,84,58,50,B-
24,67,Yes,6,Medium,Medium,Neutral,1,Male,55,49,79,80,80,47,C+
18,91,No,6,Medium,Medium,Neutral,4,Male,58,59,84,85,73,51,B-
20,77,No,9,Medium,Medium,Neutral,3,Male,55,55,76,85,51,48,C+
27,74,Yes,9,High,Medium,Neutral,3,Male,62,56,79,79,54,48,C+
20,94,Yes,6,Medium,Medium,Negative,4,Female,63,61,86,84,89,53,B-
9,65,Yes,9,Medium,Medium,Neutral,3,Female,52,64,75,79,57,45,C+
28,83,No,9,Medium,Medium,Neutral,4,Male,62,53,81,84,71,51,B-
15,66,Yes,7,Low,High,Negative,3,Male,52,44,84,79,65,45,C+
16,88,Yes,7,Medium,Medium,Positive,3,Female,63,60,78,80,41,51,B-
16,96,Yes,9,Medium,High,Neutral,5,Male,64,61,89,83,87,55,B
28,77,Yes,9,Low,Medium,Positive,3,Female,61,62,78,84,44,53,B-
7,80,No,9,Low,Medium,Neutral,3,Female,55,55,81,78,73,45,C+
39,97,Yes,10,Medium,Medium,Positive,3,Female,64,75,89,85,81,62,B+
26,81,Yes,8,Medium,High,Neutral,1,Male,60,57,78,79,77,56,B
21,80,Yes,7,High,Low,Negative,2,Male,54,56,79,81,80,51,B-
20,83,Yes,9,Low,Medium,Neutral,2,Male,60,61,81,80,77,51,B-
22,88,Yes,10,Medium,High,Neutral,2,Female,67,63,83,84,62,52,B-
23,64,Yes,6,High,Medium,Positive,2,Female,62,64,82,78,85,46,C+
24,93,Yes,7,Medium,Medium,Negative,4,Female,67,69,82,87,86,57,B
23,77,Yes,5,Medium,High,Negative,5,Female,62,59,80,83,62,52,B-
21,63,No,8,Medium,Medium,Negative,3,Female,45,48,84,81,64,44,C
19,91,Yes,8,Low,Medium,Neutral,2,Female,58,57,80,84,64,52,B-
19,75,No,6,High,Medium,Neutral,3,Female,52,52,82,78,54,47,C+
19,64,Yes,9,Low,Medium,Positive,4,Female,52,57,80,76,46,46,C+
27,85,No,6,Low,Medium,Negative,2,Male,58,60,80,79,53,51,B-
24,95,Yes,6,Medium,Medium,Neutral,3,Male,61,57,84,81,82,55,B
24,98,No,6,Low,Low,Positive,4,Male,52,58,84,83,83,52,B-
21,95,No,5,Low,Medium,Neutral,4,Male,64,65,86,91,77,53,B-
20,60,Yes,8,Low,Medium,Neutral,4,Female,50,55,82,83,57,46,C+
18,75,Yes,7,Low,Medium,Positive,2,Female,54,55,77,77,49,45,C+
27,93,Yes,9,Low,Medium,Positive,2,Female,71,64,77,83,68,55,B
26,75,No,8,Medium,Medium,Neutral,4,Male,56,67,77,82,87,52,B-
15,84,No,4,Low,Medium,Negative,3,Female,47,58,83,80,82,49,C+
22,84,Yes,9,Medium,High,Neutral,4,Male,61,60,79,81,78,54,B-
14,75,No,10,Medium,Medium,Negative,3,Female,57,49,82,82,78,45,C+
12,96,Yes,9,Medium,High,Positive,2,Male,66,60,81,79,66,51,B-
16,80,No,9,Low,Medium,Neutral,2,Female,49,43,84,77,48,46,C+
25,79,Yes,7,Medium,Medium,Neutral,3,Female,59,56,82,85,54,49,C+
26,100,Yes,6,High,High,Positive,3,Male,64,65,90,88,69,58,B
23,80,Yes,7,High,High,Positive,4,Female,60,54,84,82,56,52,B-
24,67,No,8,Medium,Low,Positive,3,Female,69,55,82,77,79,51,B-
23,81,No,8,Medium,Medium,Negative,2,Male,54,63,80,80,59,52,B-
16,93,No,6,Medium,Medium,Positive,4,Male,59,59,85,81,46,50,B-
23,91,Yes,6,Medium,Medium,Negative,3,Male,66,64,85,82,79,56,B
25,92,Yes,5,Low,Medium,Negative,1,Male,66,63,83,84,75,54,B-
25,88,Yes,8,Medium,Medium,Positive,3,Female,62,62,85,82,53,54,B-
27,70,No,6,High,Medium,Neutral,2,Female,60,64,76,78,89,51,B-
24,94,No,7,Medium,Medium,Neutral,1,Male,59,61,87,85,60,53,B-
22,96,Yes,10,Low,High,Negative,3,Male,63,55,86,80,74,54,B-
26,68,No,8,High,High,Neutral,2,Male,59,67,81,84,86,52,B-
20,65,No,7,Medium,Medium,Neutral,4,Male,56,55,78,78,48,46,C+
15,99,Yes,8,Medium,Medium,Neutral,3,Male,61,59,85,84,84,54,B-
19,95,Yes,9,Medium,Medium,Negative,3,Male,61,54,84,79,75,52,B-
16,96,Yes,5,Medium,Low,Positive,5,Male,62,64,83,86,48,54,B-
16,95,No,6,Low,High,Neutral,3,Female,63,58,82,71,73,51,B-
19,82,No,7,Medium,Medium,Positive,3,Female,59,66,84,80,84,51,B-
15,86,No,6,Medium,High,Neutral,3,Male,50,55,81,83,80,49,C+
18,82,No,7,Medium,Medium,Negative,3,Female,63,54,82,78,78,50,B-
9,62,Yes,5,Low,High,Positive,5,Female,47,54,79,72,48,42,C
21,90,No,8,Medium,Medium,Negative,2,Female,54,61,86,85,50,49,C+
20,80,No,6,Low,High,Negative,3,Male,53,56,84,79,67,47,C+
15,86,No,7,Medium,Medium,Neutral,3,Female,60,58,76,79,69,47,C+
24,80,Yes,7,Medium,High,Neutral,4,Female,52,60,76,76,87,52,B-
26,80,No,8,High,Medium,Neutral,3,Male,72,61,86,85,63,52,B-
10,67,No,4,Medium,Medium,Positive,3,Male,56,57,86,76,55,44,C
15,71,No,8,Medium,High,Negative,3,Female,54,56,76,85,50,45,C+
15,66,No,7,Medium,High,Negative,3,Female,52,51,78,82,43,44,C
14,68,Yes,8,High,High,Positive,2,Female,55,60,79,82,43,46,C+
25,99,No,5,Low,Medium,Positive,4,Female,64,51,84,87,69,54,B-
19,66,Yes,8,Medium,Low,Positive,2,Female,58,65,84,84,49,48,C+
18,71,Yes,9,Medium,High,Neutral,4,Male,61,51,80,87,83,51,B-
8,84,No,7,Medium,High,Positive,4,Male,58,55,83,84,70,50,B-
24,84,Yes,6,High,Medium,Neutral,1,Female,60,61,81,82,83,53,B-
13,66,Yes,6,Medium,Medium,Neutral,3,Male,54,54,84,80,61,47,C+
20,92,No,8,High,Medium,Neutral,3,Male,61,66,83,87,70,54,B-
22,91,Yes,8,Low,Medium,Neutral,3,Female,66,57,84,89,66,54,B-
28,69,No,8,Low,Medium,Negative,3,Female,60,59,84,79,89,50,B-
12,72,Yes,7,Medium,Medium,Positive,3,Male,43,51,80,80,80,46,C+
2,98,Yes,7,High,High,Neutral,1,Male,59,58,85,86,70,49,C+
21,93,Yes,7,Medium,Medium,Neutral,1,Male,62,60,83,88,70,53,B-
31,88,No,6,Medium,Medium,Positive,4,Male,61,61,85,79,52,53,B-
27,63,Yes,8,Medium,High,Positive,3,Female,56,55,87,80,77,50,B-
21,77,No,7,High,High,Neutral,3,Male,64,57,83,80,89,52,B-
17,82,No,9,Low,Medium,Positive,2,Female,61,58,84,73,46,49,C+
25,67,No,9,Medium,Medium,Positive,3,Female,55,62,84,84,72,50,B-
14,78,Yes,7,Medium,Medium,Negative,2,Female,58,53,70,78,66,48,C+
23,84,Yes,8,Medium,Medium,Positive,3,Male,59,59,87,81,83,55,B
23,73,No,6,Medium,Medium,Positive,3,Male,54,62,82,84,40,51,B-
26,91,Yes,7,Low,Medium,Negative,3,Male,61,63,85,79,47,55,B
37,94,Yes,8,High,Medium,Positive,3,Male,70,70,77,84,42,59,B
22,73,Yes,5,Medium,Medium,Positive,3,Female,60,52,80,76,48,48,C+
17,94,No,8,Medium,Low,Positive,4,Male,61,51,92,84,75,51,B-
20,64,Yes,6,Medium,High,Neutral,4,Female,59,53,84,83,47,48,C+
9,94,Yes,6,Low,High,Positive,3,Male,59,53,83,78,71,49,C+
16,66,No,6,Medium,Medium,Negative,2,Male,52,53,77,80,83,46,C+
18,63,No,7,Medium,High,Positive,3,Female,56,51,79,75,42,46,C+
17,86,Yes,5,Medium,Medium,Neutral,2,Male,60,60,78,80,41,49,C+
21,79,Yes,8,Medium,High,Positive,4,Male,63,58,87,82,89,52,B-
15,96,Yes,7,High,Low,Positive,1,Male,67,63,84,82,74,55,B
27,75,Yes,10,Medium,Low,Negative,3,Male,60,57,77,80,47,49,C+
20,71,Yes,7,Medium,Medium,Negative,4,Female,56,56,89,83,55,47,C+
20,80,Yes,8,Low,High,Positive,3,Male,62,58,82,77,89,50,B-
18,78,Yes,6,Low,Medium,Positive,5,Male,58,60,80,73,51,50,B-
21,74,Yes,5,Medium,High,Neutral,1,Male,54,53,83,78,78,49,C+
25,88,Yes,8,Low,Medium,Neutral,2,Female,58,65,81,81,52,51,B-
15,90,No,5,Medium,Medium,Neutral,2,Male,53,55,78,82,60,48,C+
16,94,Yes,8,High,High,Negative,3,Male,59,56,84,78,84,54,B-
18,99,Yes,10,Medium,Low,Neutral,4,Male,61,63,86,82,41,54,B-
12,71,Yes,8,Medium,High,Neutral,2,Male,50,49,85,83,55,45,C+
15,89,Yes,8,Low,High,Positive,2,Male,59,63,77,85,64,52,B-
17,76,No,7,Low,Medium,Neutral,2,Male,49,66,82,82,71,48,C+
25,87,No,6,Low,Medium,Neutral,3,Male,62,57,83,78,41,53,B-
21,100,No,6,Medium,Medium,Positive,3,Male,61,62,83,85,57,53,B-
25,89,No,5,Low,High,Negative,2,Female,58,53,73,82,41,53,B-
19,98,Yes,7,Medium,Medium,Neutral,4,Female,62,62,82,82,58,52,B-
22,93,Yes,9,Medium,Medium,Neutral,3,Male,66,58,82,82,87,54,B-
19,96,No,5,Medium,Medium,Neutral,3,Male,54,57,90,80,54,52,B-
22,93,No,9,Medium,High,Positive,2,Female,61,59,88,84,69,56,B
17,78,Yes,9,Low,High,Neutral,4,Female,53,59,80,86,55,48,C+
5,70,Yes,8,Medium,Medium,Neutral,3,Male,49,57,81,76,45,45,C+
19,75,No,8,Medium,Low,Negative,5,Female,61,58,84,82,54,50,B-
29,61,Yes,7,High,Medium,Neutral,3,Male,55,52,76,77,64,48,C+
26,81,No,7,Low,Medium,Neutral,3,Male,55,63,75,83,55,48,C+
26,80,Yes,6,Medium,Medium,Neutral,2,Female,53,57,85,88,71,53,B-
27,81,Yes,7,Low,Medium,Neutral,2,Female,63,51,82,79,87,53,B-
21,99,Yes,7,Medium,Low,Neutral,4,Female,57,64,86,78,43,54,B-
21,96,No,10,Low,High,Neutral,3,Male,62,57,82,82,76,54,B-
